species	assembly	provider	provider_subfolder	genome_version	display_name
acanthochromis_polyacanthus	ASM210954v1	ensembl		ensembl109	Spiny chromis
accipiter_nisus	Accipiter_nisus_ver1.0	ensembl		ensembl109	Eurasian sparrowhawk
ailuropoda_melanoleuca	ASM200744v2	ensembl		ensembl109	Giant panda
amazona_collaria	ASM394721v1	ensembl		ensembl109	Yellow-billed parrot
amphilophus_citrinellus	Midas_v5	ensembl		ensembl109	Midas cichlid
amphiprion_ocellaris	AmpOce1.0	ensembl		ensembl109	Clown anemonefish
amphiprion_percula	Nemo_v1	ensembl		ensembl109	Orange clownfish
anabas_testudineus	fAnaTes1.2	ensembl		ensembl109	Climbing perch
anas_platyrhynchos	ASM874695v1	ensembl		ensembl109	Mallard
anas_platyrhynchos_platyrhynchos	CAU_duck1.0	ensembl		ensembl109	Duck
anas_zonorhyncha	ASM222487v1	ensembl		ensembl109	Eastern spot-billed duck
anolis_carolinensis	AnoCar2.0v2	ensembl		ensembl109	Green anole
anser_brachyrhynchus	ASM259213v1	ensembl		ensembl109	Pink-footed goose
anser_cygnoides	GooseV1.0	ensembl		ensembl109	Swan goose
aotus_nancymaae	Anan_2.0	ensembl		ensembl109	Ma's night monkey
apteryx_haastii	aptHaa1	ensembl		ensembl109	Great spotted kiwi
apteryx_owenii	aptOwe1	ensembl		ensembl109	Little spotted kiwi
apteryx_rowi	aptRow1	ensembl		ensembl109	Okarito brown kiwi
aquila_chrysaetos_chrysaetos	bAquChr1.2	ensembl		ensembl109	Golden eagle
astatotilapia_calliptera	fAstCal1.2	ensembl		ensembl109	Eastern happy
astyanax_mexicanus	Astyanax_mexicanus-2.0	ensembl		ensembl109	Mexican tetra
astyanax_mexicanus_pachon	Astyanax_mexicanus-1.0.2	ensembl		ensembl109	Pachon cavefish
athene_cunicularia	athCun1	ensembl		ensembl109	Burrowing owl
balaenoptera_musculus	mBalMus1.v2	ensembl		ensembl109	Blue whale
betta_splendens	fBetSpl5.2	ensembl		ensembl109	Siamese fighting fish
bison_bison_bison	Bison_UMD1.0	ensembl		ensembl109	American bison
bos_grunniens	LU_Bosgru_v3.0	ensembl		ensembl109	Domestic yak
bos_indicus_hybrid	UOA_Brahman_1	ensembl		ensembl109	Hybrid - Bos Indicus
bos_mutus	BosGru_v2.0	ensembl		ensembl109	Wild yak
bos_taurus	ARS-UCD1.2	ensembl		ensembl109	Cow
bos_taurus_hybrid	UOA_Angus_1	ensembl		ensembl109	Hybrid - Bos Taurus
bubo_bubo	BubBub1.0	ensembl		ensembl109	Eurasian eagle-owl
buteo_japonicus	ButJap1.0	ensembl		ensembl109	Eastern buzzard
caenorhabditis_elegans	WBcel235	ensembl		ensembl109	Caenorhabditis elegans (PRJNA13758)
cairina_moschata_domestica	CaiMos1.0	ensembl		ensembl109	Muscovy Duck (domestic type)
calidris_pugnax	ASM143184v1	ensembl		ensembl109	Ruff
calidris_pygmaea	ASM369795v1	ensembl		ensembl109	Spoon-billed sandpiper
callithrix_jacchus	mCalJac1.pat.X	ensembl		ensembl109	White-tufted-ear marmoset
callorhinchus_milii	Callorhinchus_milii-6.1.3	ensembl		ensembl109	Elephant shark
camarhynchus_parvulus	Camarhynchus_parvulus_V1.1	ensembl		ensembl109	Small tree finch
camelus_dromedarius	CamDro2	ensembl		ensembl109	Arabian camel
canis_lupus_dingo	ASM325472v1	ensembl		ensembl109	Dingo
canis_lupus_familiaris	ROS_Cfam_1.0	ensembl		ensembl109	Dog
canis_lupus_familiarisbasenji	Basenji_breed-1.1	ensembl		ensembl109	Dog - Basenji
canis_lupus_familiarisboxer	Dog10K_Boxer_Tasha	ensembl		ensembl109	Dog - Boxer
canis_lupus_familiarisgreatdane	UMICH_Zoey_3.1	ensembl		ensembl109	Dog - Great Dane
